Reading PCAP data...

Generated CSV file from ../demo-muteeb.pcap...

Merged common columns in dataset...

Dataset preprocess completed...

Accuracy...

Logistic_Regression_Model           6.77%
Naive_Bayes                         32.28%
Gradient_Boosting_Classifier_Model  56.73%
Decision_Tree_Classifier_Model      71.9%
K_Neighbors_Classifier_Model        23.24%
Random_Forest_Classifier_Model      77.77%

Prediction...

Packet Time                  Logistic_Regression          Naive_Bayes                  Gradient_Boosting_Classifier Decision_Tree_Classifier     K_Neighbors_Classifier       Random_Forest_Classifier     Actual Packet Protocol      
146-1645977863.174988        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
147-1645977863.175281        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
148-1645977863.179988        quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
149-1645977863.180231        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
150-1645977863.189398        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
151-1645977863.196752        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
152-1645977863.197315        quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
153-1645977863.200782        quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
154-1645977863.208091        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
155-1645977863.213411        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
156-1645977863.2168          quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
157-1645977863.220955        quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
158-1645977863.222056        quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
159-1645977863.222292        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
160-1645977863.224585        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
161-1645977863.229299        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
162-1645977863.229313        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
163-1645977863.229318        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
164-1645977863.229322        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
165-1645977863.229326        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
166-1645977863.229329        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
167-1645977863.229333        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
168-1645977863.229339        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
169-1645977863.229342        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
170-1645977863.229345        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
171-1645977863.229349        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
172-1645977863.229353        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
173-1645977863.229357        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
174-1645977863.233768        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
175-1645977863.238981        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
176-1645977863.240049        quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
177-1645977863.241311        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
178-1645977863.251022        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
179-1645977863.258336        quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
180-1645977863.258337        quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
181-1645977863.258613        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
182-1645977863.260143        quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
183-1645977863.26312         quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
184-1645977863.266496        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
185-1645977863.268748        quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
186-1645977863.270463        quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
187-1645977863.270765        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
188-1645977863.272771        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
189-1645977863.273017        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
190-1645977863.273018        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
191-1645977863.273538        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
192-1645977863.273775        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
