frame.encap_type,frame.time_epoch,frame.len,frame.cap_len,eth.src,eth.dst,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,srcport,dstport,length,checksum,quic
1,1644570364.424606,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x5cfe,0x00,0,0,0,0,64,17,0xe8b5,192.168.0.103,104.18.11.207,73,0x00,50929,443,53,0x058f,1
1,1644570364.424635,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x980e,0x00,0,0,0,0,64,17,0xada5,192.168.0.103,104.18.11.207,73,0x00,50929,443,53,0x6277,1
1,1644570364.424719,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xa48f,0x00,0,0,0,0,64,17,0xa124,192.168.0.103,104.18.11.207,73,0x00,50929,443,53,0xbc68,1
1,1644570364.424782,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x5953,0x00,0,0,0,0,64,17,0xec60,192.168.0.103,104.18.11.207,73,0x00,50929,443,53,0xc605,1
1,1644570364.434357,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c4d,0x40,0,1,0,0,56,17,0x9ce3,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0xf09a,1
1,1644570364.434358,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c4e,0x40,0,1,0,0,56,17,0x9ce2,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x5e8b,1
1,1644570364.434358,1071,1071,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c4f,0x40,0,1,0,0,56,17,0x9d8c,104.18.11.207,192.168.0.103,1057,0x00,443,50929,1037,0xd17b,1
1,1644570364.434359,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c50,0x40,0,1,0,0,56,17,0x9ce0,104.18.11.207,192.168.0.103,1228,0x00,443,50929,1208,0x0a90,1
1,1644570364.434359,513,513,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x6c51,0x40,0,1,0,0,56,17,0x9fb8,104.18.11.207,192.168.0.103,499,0x00,443,50929,479,0x0e26,1
1,1644570364.434552,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x9362,0x00,0,0,0,0,64,17,0xb251,192.168.0.103,104.18.11.207,73,0x00,50929,443,53,0xb2e0,1
1,1644570364.434613,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0x68b3,1
1,1644570364.434613,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0xa39f,1
1,1644570364.434614,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89b3,0x40,0,1,0,0,56,17,0x8054,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0xd292,1
1,1644570364.434615,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89b4,0x40,0,1,0,0,56,17,0x8053,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0xfb7e,1
1,1644570364.434615,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89b5,0x40,0,1,0,0,56,17,0x8052,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x4506,1
1,1644570364.434627,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x972a,0x00,0,0,0,0,64,17,0xae89,192.168.0.103,104.18.11.207,73,0x00,50929,443,53,0x409d,1
1,1644570364.434713,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x4e23,0x00,0,0,0,0,64,17,0xf790,192.168.0.103,104.18.11.207,73,0x00,50929,443,53,0x51c5,1
1,1644570364.434752,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89b6,0x40,0,1,0,0,56,17,0x8051,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x20c5,1
